,Unnamed: 0,country,year,sex,age,suicides_no,population,suicides/100k,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation,population_sum,suicides_no_sum
16182,16182,Mauritius,1985,female,75+ years,2,8800,22.73,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation,883400,104
16183,16183,Mauritius,1985,male,25-34 years,19,88500,21.47,Mauritius1985,0.575,"1,080,642,033",1223,Boomers,883400,104
16184,16184,Mauritius,1985,male,35-54 years,18,89500,20.11,Mauritius1985,0.575,"1,080,642,033",1223,Silent,883400,104
16185,16185,Mauritius,1985,male,55-74 years,9,45300,19.87,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation,883400,104
16186,16186,Mauritius,1985,male,15-24 years,21,109400,19.2,Mauritius1985,0.575,"1,080,642,033",1223,Generation X,883400,104
16187,16187,Mauritius,1985,female,15-24 years,18,106300,16.93,Mauritius1985,0.575,"1,080,642,033",1223,Generation X,883400,104
16188,16188,Mauritius,1985,female,55-74 years,4,47900,8.35,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation,883400,104
16189,16189,Mauritius,1985,female,25-34 years,6,87200,6.88,Mauritius1985,0.575,"1,080,642,033",1223,Boomers,883400,104
16190,16190,Mauritius,1985,female,35-54 years,6,90500,6.63,Mauritius1985,0.575,"1,080,642,033",1223,Silent,883400,104
16191,16191,Mauritius,1985,male,5-14 years,1,104700,0.96,Mauritius1985,0.575,"1,080,642,033",1223,Generation X,883400,104
16192,16192,Mauritius,1985,female,5-14 years,0,100900,0.0,Mauritius1985,0.575,"1,080,642,033",1223,Generation X,883400,104
16193,16193,Mauritius,1985,male,75+ years,0,4400,0.0,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation,883400,104
16194,16194,Mauritius,1986,male,25-34 years,7,88800,7.88,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Boomers,898100,28
16195,16195,Mauritius,1986,male,35-54 years,7,94900,7.38,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Silent,898100,28
16196,16196,Mauritius,1986,female,15-24 years,6,104600,5.74,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Generation X,898100,28
16197,16197,Mauritius,1986,male,15-24 years,5,108300,4.62,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Generation X,898100,28
16198,16198,Mauritius,1986,female,25-34 years,2,88500,2.26,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Boomers,898100,28
16199,16199,Mauritius,1986,male,55-74 years,1,45700,2.19,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,G.I. Generation,898100,28
16200,16200,Mauritius,1986,female,35-54 years,0,96400,0.0,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Silent,898100,28
16201,16201,Mauritius,1986,female,5-14 years,0,102100,0.0,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Generation X,898100,28
16202,16202,Mauritius,1986,female,55-74 years,0,48500,0.0,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,G.I. Generation,898100,28
16203,16203,Mauritius,1986,female,75+ years,0,9100,0.0,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,G.I. Generation,898100,28
16204,16204,Mauritius,1986,male,5-14 years,0,106500,0.0,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,Generation X,898100,28
16205,16205,Mauritius,1986,male,75+ years,0,4700,0.0,Mauritius1986,0.7141356181943528,"1,469,046,115",1636,G.I. Generation,898100,28
16206,16206,Mauritius,1987,male,35-54 years,36,98200,36.66,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Silent,911300,140
16207,16207,Mauritius,1987,female,15-24 years,28,102000,27.45,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Generation X,911300,140
16208,16208,Mauritius,1987,male,25-34 years,21,91300,23.0,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Boomers,911300,140
16209,16209,Mauritius,1987,male,15-24 years,24,105000,22.86,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Generation X,911300,140
16210,16210,Mauritius,1987,female,75+ years,2,9000,22.22,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,G.I. Generation,911300,140
16211,16211,Mauritius,1987,male,55-74 years,6,45800,13.1,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,G.I. Generation,911300,140
16212,16212,Mauritius,1987,female,25-34 years,10,92900,10.76,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Boomers,911300,140
16213,16213,Mauritius,1987,female,55-74 years,3,49500,6.06,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,G.I. Generation,911300,140
16214,16214,Mauritius,1987,female,35-54 years,6,100300,5.98,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Silent,911300,140
16215,16215,Mauritius,1987,female,5-14 years,4,103900,3.85,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Generation X,911300,140
16216,16216,Mauritius,1987,male,5-14 years,0,108600,0.0,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,Generation X,911300,140
16217,16217,Mauritius,1987,male,75+ years,0,4800,0.0,Mauritius1987,0.7159609217280336,"1,888,754,655",2073,G.I. Generation,911300,140
16218,16218,Mauritius,1988,male,75+ years,3,4800,62.5,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,G.I. Generation,925000,167
16219,16219,Mauritius,1988,male,35-54 years,44,101600,43.31,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Silent,925000,167
16220,16220,Mauritius,1988,male,55-74 years,14,46800,29.91,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,G.I. Generation,925000,167
16221,16221,Mauritius,1988,male,25-34 years,28,95100,29.44,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Boomers,925000,167
16222,16222,Mauritius,1988,female,15-24 years,21,99200,21.17,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Generation X,925000,167
16223,16223,Mauritius,1988,male,15-24 years,21,102000,20.59,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Generation X,925000,167
16224,16224,Mauritius,1988,female,25-34 years,19,95000,20.0,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Boomers,925000,167
16225,16225,Mauritius,1988,female,35-54 years,11,106100,10.37,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Silent,925000,167
16226,16226,Mauritius,1988,female,55-74 years,3,49900,6.01,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,G.I. Generation,925000,167
16227,16227,Mauritius,1988,female,5-14 years,2,105100,1.9,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Generation X,925000,167
16228,16228,Mauritius,1988,male,5-14 years,1,109800,0.91,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,Generation X,925000,167
16229,16229,Mauritius,1988,female,75+ years,0,9600,0.0,Mauritius1988,0.7168245172691486,"2,143,484,488",2317,G.I. Generation,925000,167
16230,16230,Mauritius,1989,male,25-34 years,41,96900,42.31,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Boomers,932900,144
16231,16231,Mauritius,1989,male,75+ years,2,5200,38.46,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,G.I. Generation,932900,144
16232,16232,Mauritius,1989,male,35-54 years,37,103400,35.78,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Silent,932900,144
16233,16233,Mauritius,1989,female,75+ years,2,10200,19.61,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,G.I. Generation,932900,144
16234,16234,Mauritius,1989,male,15-24 years,19,100400,18.92,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Generation X,932900,144
16235,16235,Mauritius,1989,male,55-74 years,8,47500,16.84,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,G.I. Generation,932900,144
16236,16236,Mauritius,1989,female,15-24 years,11,97900,11.24,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Generation X,932900,144
16237,16237,Mauritius,1989,female,55-74 years,5,50900,9.82,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,G.I. Generation,932900,144
16238,16238,Mauritius,1989,female,25-34 years,9,96500,9.33,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Boomers,932900,144
16239,16239,Mauritius,1989,female,5-14 years,5,104600,4.78,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Generation X,932900,144
16240,16240,Mauritius,1989,female,35-54 years,5,109900,4.55,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Silent,932900,144
16241,16241,Mauritius,1989,male,5-14 years,0,109500,0.0,Mauritius1989,0.7168210678215979,"2,191,096,860",2349,Generation X,932900,144
16242,16242,Mauritius,1990,male,35-54 years,33,107800,30.61,Mauritius1990,0.619,"2,653,480,001",2820,Silent,941100,147
16243,16243,Mauritius,1990,male,55-74 years,13,48700,26.69,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation,941100,147
16244,16244,Mauritius,1990,male,25-34 years,26,98100,26.5,Mauritius1990,0.619,"2,653,480,001",2820,Boomers,941100,147
16245,16245,Mauritius,1990,female,15-24 years,23,95400,24.11,Mauritius1990,0.619,"2,653,480,001",2820,Generation X,941100,147
16246,16246,Mauritius,1990,female,25-34 years,18,97100,18.54,Mauritius1990,0.619,"2,653,480,001",2820,Boomers,941100,147
16247,16247,Mauritius,1990,male,15-24 years,18,98500,18.27,Mauritius1990,0.619,"2,653,480,001",2820,Generation X,941100,147
16248,16248,Mauritius,1990,female,55-74 years,4,51800,7.72,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation,941100,147
16249,16249,Mauritius,1990,female,35-54 years,8,115600,6.92,Mauritius1990,0.619,"2,653,480,001",2820,Silent,941100,147
16250,16250,Mauritius,1990,female,5-14 years,3,103400,2.9,Mauritius1990,0.619,"2,653,480,001",2820,Generation X,941100,147
16251,16251,Mauritius,1990,male,5-14 years,1,108400,0.92,Mauritius1990,0.619,"2,653,480,001",2820,Generation X,941100,147
16252,16252,Mauritius,1990,female,75+ years,0,10500,0.0,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation,941100,147
16253,16253,Mauritius,1990,male,75+ years,0,5800,0.0,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation,941100,147
16254,16254,Mauritius,1991,male,75+ years,3,6300,47.62,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,G.I. Generation,938100,137
16255,16255,Mauritius,1991,male,25-34 years,37,100400,36.85,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Boomers,938100,137
16256,16256,Mauritius,1991,male,55-74 years,12,47400,25.32,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Silent,938100,137
16257,16257,Mauritius,1991,male,35-54 years,27,113400,23.81,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Boomers,938100,137
16258,16258,Mauritius,1991,female,15-24 years,15,93300,16.08,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Generation X,938100,137
16259,16259,Mauritius,1991,male,15-24 years,15,96200,15.59,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Generation X,938100,137
16260,16260,Mauritius,1991,female,25-34 years,11,97100,11.33,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Boomers,938100,137
16261,16261,Mauritius,1991,female,55-74 years,5,53600,9.33,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Silent,938100,137
16262,16262,Mauritius,1991,female,35-54 years,9,114000,7.89,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Boomers,938100,137
16263,16263,Mauritius,1991,female,5-14 years,3,101000,2.97,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Millenials,938100,137
16264,16264,Mauritius,1991,female,75+ years,0,11500,0.0,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,G.I. Generation,938100,137
16265,16265,Mauritius,1991,male,5-14 years,0,103900,0.0,Mauritius1991,0.7189349826813872,"2,856,890,681",3045,Millenials,938100,137
16266,16266,Mauritius,1992,male,75+ years,3,6600,45.45,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,G.I. Generation,948300,146
16267,16267,Mauritius,1992,male,35-54 years,47,118800,39.56,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Boomers,948300,146
16268,16268,Mauritius,1992,male,25-34 years,24,101400,23.67,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Boomers,948300,146
16269,16269,Mauritius,1992,male,15-24 years,17,96800,17.56,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Generation X,948300,146
16270,16270,Mauritius,1992,male,55-74 years,8,48000,16.67,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Silent,948300,146
16271,16271,Mauritius,1992,female,15-24 years,13,93200,13.95,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Generation X,948300,146
16272,16272,Mauritius,1992,female,35-54 years,14,118500,11.81,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Boomers,948300,146
16273,16273,Mauritius,1992,female,25-34 years,11,96800,11.36,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Boomers,948300,146
16274,16274,Mauritius,1992,female,75+ years,1,11800,8.47,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,G.I. Generation,948300,146
16275,16275,Mauritius,1992,female,55-74 years,3,54700,5.48,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Silent,948300,146
16276,16276,Mauritius,1992,female,5-14 years,4,99300,4.03,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Millenials,948300,146
16277,16277,Mauritius,1992,male,5-14 years,1,102400,0.98,Mauritius1992,0.7200645545246931,"3,224,267,548",3400,Millenials,948300,146
16278,16278,Mauritius,1993,male,75+ years,2,6800,29.41,Mauritius1993,0.7200417275128628,"3,263,368,410",3405,G.I. Generation,958300,138
16279,16279,Mauritius,1993,male,25-34 years,30,102500,29.27,Mauritius1993,0.7200417275128628,"3,263,368,410",3405,Boomers,958300,138
16280,16280,Mauritius,1993,male,35-54 years,33,123400,26.74,Mauritius1993,0.7200417275128628,"3,263,368,410",3405,Boomers,958300,138
16281,16281,Mauritius,1993,male,55-74 years,13,48700,26.69,Mauritius1993,0.7200417275128628,"3,263,368,410",3405,Silent,958300,138
16282,16282,Mauritius,1993,female,15-24 years,16,93500,17.11,Mauritius1993,0.7200417275128628,"3,263,368,410",3405,Generation X,958300,138
16283,16283,Mauritius,1993,female,25-34 years,16,97000,16.49,Mauritius1993,0.7200417275128628,"3,263,368,410",3405,Boomers,958300,138
