,country,year,sex,age,suicides_no,population,suicides/100k,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation,population_sum,suicides_no_sum
2888,Barbados,1985,male,75+ years,1,4000,25.0,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation,231000,7
2889,Barbados,1985,male,55-74 years,3,13000,23.08,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation,231000,7
2890,Barbados,1985,female,25-34 years,2,22000,9.09,Barbados1985,0.7,"1,417,575,550",6137,Boomers,231000,7
2891,Barbados,1985,male,25-34 years,1,22000,4.55,Barbados1985,0.7,"1,417,575,550",6137,Boomers,231000,7
2892,Barbados,1985,female,15-24 years,0,26000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X,231000,7
2893,Barbados,1985,female,35-54 years,0,24000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Silent,231000,7
2894,Barbados,1985,female,5-14 years,0,24000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X,231000,7
2895,Barbados,1985,female,55-74 years,0,19000,0.0,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation,231000,7
2896,Barbados,1985,female,75+ years,0,7000,0.0,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation,231000,7
2897,Barbados,1985,male,15-24 years,0,26000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X,231000,7
2898,Barbados,1985,male,35-54 years,0,20000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Silent,231000,7
2899,Barbados,1985,male,5-14 years,0,24000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X,231000,7
2900,Barbados,1986,male,35-54 years,4,20000,20.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,Silent,231600,8
2901,Barbados,1986,male,15-24 years,2,26200,7.63,Barbados1986,0.729975796938745,"1,556,321,742",6720,Generation X,231600,8
2902,Barbados,1986,female,25-34 years,1,22000,4.55,Barbados1986,0.729975796938745,"1,556,321,742",6720,Boomers,231600,8
2903,Barbados,1986,male,25-34 years,1,22000,4.55,Barbados1986,0.729975796938745,"1,556,321,742",6720,Boomers,231600,8
2904,Barbados,1986,female,15-24 years,0,26200,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,Generation X,231600,8
2905,Barbados,1986,female,35-54 years,0,24000,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,Silent,231600,8
2906,Barbados,1986,female,5-14 years,0,24100,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,Generation X,231600,8
2907,Barbados,1986,female,55-74 years,0,19000,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,G.I. Generation,231600,8
2908,Barbados,1986,female,75+ years,0,7000,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,G.I. Generation,231600,8
2909,Barbados,1986,male,5-14 years,0,24100,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,Generation X,231600,8
2910,Barbados,1986,male,55-74 years,0,13000,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,G.I. Generation,231600,8
2911,Barbados,1986,male,75+ years,0,4000,0.0,Barbados1986,0.729975796938745,"1,556,321,742",6720,G.I. Generation,231600,8
2912,Barbados,1987,female,35-54 years,2,24400,8.2,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Silent,233700,6
2913,Barbados,1987,male,55-74 years,1,13000,7.69,Barbados1987,0.7318565088565402,"1,713,771,321",7333,G.I. Generation,233700,6
2914,Barbados,1987,male,35-54 years,1,20200,4.95,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Silent,233700,6
2915,Barbados,1987,male,25-34 years,1,22200,4.5,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Boomers,233700,6
2916,Barbados,1987,male,5-14 years,1,24300,4.12,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Generation X,233700,6
2917,Barbados,1987,female,15-24 years,0,26400,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Generation X,233700,6
2918,Barbados,1987,female,25-34 years,0,22200,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Boomers,233700,6
2919,Barbados,1987,female,5-14 years,0,24300,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Generation X,233700,6
2920,Barbados,1987,female,55-74 years,0,19300,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,G.I. Generation,233700,6
2921,Barbados,1987,female,75+ years,0,7000,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,G.I. Generation,233700,6
2922,Barbados,1987,male,15-24 years,0,26400,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,Generation X,233700,6
2923,Barbados,1987,male,75+ years,0,4000,0.0,Barbados1987,0.7318565088565402,"1,713,771,321",7333,G.I. Generation,233700,6
2924,Barbados,1988,male,25-34 years,5,22400,22.32,Barbados1988,0.7332078217456619,"1,822,815,594",7763,Boomers,234800,12
2925,Barbados,1988,male,35-54 years,3,20400,14.71,Barbados1988,0.7332078217456619,"1,822,815,594",7763,Silent,234800,12
2926,Barbados,1988,male,55-74 years,1,13100,7.63,Barbados1988,0.7332078217456619,"1,822,815,594",7763,G.I. Generation,234800,12
2927,Barbados,1988,male,15-24 years,2,26400,7.58,Barbados1988,0.7332078217456619,"1,822,815,594",7763,Generation X,234800,12
2928,Barbados,1988,female,55-74 years,1,19400,5.15,Barbados1988,0.7332078217456619,"1,822,815,594",7763,G.I. Generation,234800,12
2929,Barbados,1988,female,15-24 years,0,26400,0.0,Barbados1988,0.7332078217456619,"1,822,815,594",7763,Generation X,234800,12
2930,Barbados,1988,female,25-34 years,0,22400,0.0,Barbados1988,0.7332078217456619,"1,822,815,594",7763,Boomers,234800,12
