,Unnamed: 0,country,year,sex,age,suicides_no,population,suicides/100k,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation,population_sum,suicides_no_sum
0,0,Albania,1987,male,15-24 years,21,312900,6.71,Albania1987,0.7110589743752092,"2,156,624,900",796,Generation X,2709600,73
1,1,Albania,1987,male,35-54 years,16,308000,5.19,Albania1987,0.7110589743752092,"2,156,624,900",796,Silent,2709600,73
2,2,Albania,1987,female,15-24 years,14,289700,4.83,Albania1987,0.7110589743752092,"2,156,624,900",796,Generation X,2709600,73
3,3,Albania,1987,male,75+ years,1,21800,4.59,Albania1987,0.7110589743752092,"2,156,624,900",796,G.I. Generation,2709600,73
4,4,Albania,1987,male,25-34 years,9,274300,3.28,Albania1987,0.7110589743752092,"2,156,624,900",796,Boomers,2709600,73
5,5,Albania,1987,female,75+ years,1,35600,2.81,Albania1987,0.7110589743752092,"2,156,624,900",796,G.I. Generation,2709600,73
6,6,Albania,1987,female,35-54 years,6,278800,2.15,Albania1987,0.7110589743752092,"2,156,624,900",796,Silent,2709600,73
7,7,Albania,1987,female,25-34 years,4,257200,1.56,Albania1987,0.7110589743752092,"2,156,624,900",796,Boomers,2709600,73
8,8,Albania,1987,male,55-74 years,1,137500,0.73,Albania1987,0.7110589743752092,"2,156,624,900",796,G.I. Generation,2709600,73
9,9,Albania,1987,female,5-14 years,0,311000,0.0,Albania1987,0.7110589743752092,"2,156,624,900",796,Generation X,2709600,73
10,10,Albania,1987,female,55-74 years,0,144600,0.0,Albania1987,0.7110589743752092,"2,156,624,900",796,G.I. Generation,2709600,73
11,11,Albania,1987,male,5-14 years,0,338200,0.0,Albania1987,0.7110589743752092,"2,156,624,900",796,Generation X,2709600,73
12,12,Albania,1988,female,75+ years,2,36400,5.49,Albania1988,0.7109120631327277,"2,126,000,000",769,G.I. Generation,2764300,63
13,13,Albania,1988,male,15-24 years,17,319200,5.33,Albania1988,0.7109120631327277,"2,126,000,000",769,Generation X,2764300,63
14,14,Albania,1988,male,75+ years,1,22300,4.48,Albania1988,0.7109120631327277,"2,126,000,000",769,G.I. Generation,2764300,63
15,15,Albania,1988,male,35-54 years,14,314100,4.46,Albania1988,0.7109120631327277,"2,126,000,000",769,Silent,2764300,63
16,16,Albania,1988,male,55-74 years,4,140200,2.85,Albania1988,0.7109120631327277,"2,126,000,000",769,G.I. Generation,2764300,63
17,17,Albania,1988,female,15-24 years,8,295600,2.71,Albania1988,0.7109120631327277,"2,126,000,000",769,Generation X,2764300,63
18,18,Albania,1988,female,55-74 years,3,147500,2.03,Albania1988,0.7109120631327277,"2,126,000,000",769,G.I. Generation,2764300,63
19,19,Albania,1988,female,25-34 years,5,262400,1.91,Albania1988,0.7109120631327277,"2,126,000,000",769,Boomers,2764300,63
20,20,Albania,1988,male,25-34 years,5,279900,1.79,Albania1988,0.7109120631327277,"2,126,000,000",769,Boomers,2764300,63
