,Unnamed: 0,country,year,sex,age,suicides_no,population,suicides/100k,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation,population_sum,suicides_no_sum
264,264,Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Generation X,62574,0
265,265,Antigua and Barbuda,1985,female,25-34 years,0,6344,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Boomers,62574,0
266,266,Antigua and Barbuda,1985,female,35-54 years,0,6173,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Silent,62574,0
267,267,Antigua and Barbuda,1985,female,5-14 years,0,7339,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Generation X,62574,0
268,268,Antigua and Barbuda,1985,female,55-74 years,0,3778,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,G.I. Generation,62574,0
269,269,Antigua and Barbuda,1985,female,75+ years,0,949,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,G.I. Generation,62574,0
270,270,Antigua and Barbuda,1985,male,15-24 years,0,7667,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Generation X,62574,0
271,271,Antigua and Barbuda,1985,male,25-34 years,0,6194,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Boomers,62574,0
272,272,Antigua and Barbuda,1985,male,35-54 years,0,5970,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Silent,62574,0
273,273,Antigua and Barbuda,1985,male,5-14 years,0,7304,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,Generation X,62574,0
274,274,Antigua and Barbuda,1985,male,55-74 years,0,2723,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,G.I. Generation,62574,0
275,275,Antigua and Barbuda,1985,male,75+ years,0,424,0.0,Antigua and Barbuda1985,0.7211554622048054,"240,923,926",3850,G.I. Generation,62574,0
276,276,Antigua and Barbuda,1986,female,15-24 years,0,7668,0.0,Antigua and Barbuda1986,0.7239001758486742,"290,440,148",4740,Generation X,61270,0
277,277,Antigua and Barbuda,1986,female,25-34 years,0,6209,0.0,Antigua and Barbuda1986,0.7239001758486742,"290,440,148",4740,Boomers,61270,0
278,278,Antigua and Barbuda,1986,female,35-54 years,0,6101,0.0,Antigua and Barbuda1986,0.7239001758486742,"290,440,148",4740,Silent,61270,0
