,Unnamed: 0,country,year,sex,age,suicides_no,population,suicides/100k,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation,population_sum,suicides_no_sum
15306,15306,Luxembourg,1985,male,75+ years,6,6900,86.96,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation,344800,55
15307,15307,Luxembourg,1985,male,55-74 years,14,30200,46.36,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation,344800,55
15308,15308,Luxembourg,1985,female,75+ years,4,13500,29.63,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation,344800,55
15309,15309,Luxembourg,1985,male,35-54 years,12,50200,23.9,Luxembourg1985,0.752,"4,738,559,685",13743,Silent,344800,55
15310,15310,Luxembourg,1985,female,25-34 years,6,29800,20.13,Luxembourg1985,0.752,"4,738,559,685",13743,Boomers,344800,55
15311,15311,Luxembourg,1985,female,35-54 years,5,47900,10.44,Luxembourg1985,0.752,"4,738,559,685",13743,Silent,344800,55
15312,15312,Luxembourg,1985,male,25-34 years,3,29900,10.03,Luxembourg1985,0.752,"4,738,559,685",13743,Boomers,344800,55
15313,15313,Luxembourg,1985,male,5-14 years,2,21700,9.22,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X,344800,55
15314,15314,Luxembourg,1985,male,15-24 years,2,28100,7.12,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X,344800,55
15315,15315,Luxembourg,1985,female,15-24 years,1,27800,3.6,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X,344800,55
15316,15316,Luxembourg,1985,female,5-14 years,0,20500,0.0,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X,344800,55
15317,15317,Luxembourg,1985,female,55-74 years,0,38300,0.0,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation,344800,55
15318,15318,Luxembourg,1986,male,75+ years,3,7100,42.25,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,G.I. Generation,346000,51
15319,15319,Luxembourg,1986,male,55-74 years,13,30800,42.21,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,G.I. Generation,346000,51
15320,15320,Luxembourg,1986,male,25-34 years,7,30200,23.18,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Boomers,346000,51
15321,15321,Luxembourg,1986,male,35-54 years,11,50300,21.87,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Silent,346000,51
15322,15322,Luxembourg,1986,female,55-74 years,7,38600,18.13,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,G.I. Generation,346000,51
15323,15323,Luxembourg,1986,female,25-34 years,4,30200,13.25,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Boomers,346000,51
15324,15324,Luxembourg,1986,male,15-24 years,3,27800,10.79,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Generation X,346000,51
15325,15325,Luxembourg,1986,female,75+ years,1,13900,7.19,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,G.I. Generation,346000,51
15326,15326,Luxembourg,1986,female,35-54 years,2,47900,4.18,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Silent,346000,51
15327,15327,Luxembourg,1986,female,15-24 years,0,27500,0.0,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Generation X,346000,51
15328,15328,Luxembourg,1986,female,5-14 years,0,20300,0.0,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Generation X,346000,51
15329,15329,Luxembourg,1986,male,5-14 years,0,21400,0.0,Luxembourg1986,0.7710780363357154,"6,921,264,132",20004,Generation X,346000,51
15330,15330,Luxembourg,1987,male,75+ years,3,7200,41.67,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,G.I. Generation,349400,74
15331,15331,Luxembourg,1987,male,35-54 years,19,51000,37.25,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Silent,349400,74
15332,15332,Luxembourg,1987,male,25-34 years,10,31100,32.15,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Boomers,349400,74
15333,15333,Luxembourg,1987,female,55-74 years,12,39000,30.77,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,G.I. Generation,349400,74
15334,15334,Luxembourg,1987,male,55-74 years,9,31500,28.57,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,G.I. Generation,349400,74
15335,15335,Luxembourg,1987,female,75+ years,3,14400,20.83,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,G.I. Generation,349400,74
15336,15336,Luxembourg,1987,female,35-54 years,8,48600,16.46,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Silent,349400,74
15337,15337,Luxembourg,1987,male,15-24 years,4,27400,14.6,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Generation X,349400,74
15338,15338,Luxembourg,1987,female,15-24 years,3,26500,11.32,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Generation X,349400,74
15339,15339,Luxembourg,1987,female,25-34 years,3,31200,9.62,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Boomers,349400,74
15340,15340,Luxembourg,1987,female,5-14 years,0,20200,0.0,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Generation X,349400,74
15341,15341,Luxembourg,1987,male,5-14 years,0,21300,0.0,Luxembourg1987,0.7855137072490235,"8,614,215,559",24654,Generation X,349400,74
15342,15342,Luxembourg,1988,male,25-34 years,15,31700,47.32,Luxembourg1988,0.7948090904411288,"9,750,161,053",27676,Boomers,352300,69
